Order,Player,Club,Nationality,Percent,Year,Position
7,Diego ForlÃ¡n,AtlÃ©tico Madrid /    Internazionale,Uruguay,1.43,2011,
8,Samuel Eto'o,Internazionale /     Anzhi Makhachkala,Cameroon,1.34,2011,
9,Iker Casillas,Real Madrid,Spain,1.29,2011,
10,Neymar,Santos,Brazil,1.12,2011,
11,Mesut Ãzil,Real Madrid,Germany,0.76,2011,
12,Wesley Sneijder,Internazionale,Netherlands,0.72,2011,
13,Thomas MÃ¼ller,Bayern Munich,Germany,0.64,2011,
14,David Villa,Barcelona,Spain,0.53,2011,
15,Bastian Schweinsteiger,Bayern Munich,Germany,0.50,2011,
16,Xabi Alonso,Real Madrid,Spain,0.48,2011,
17,Sergio AgÃ¼ero,AtlÃ©tico Madrid,Argentina,0.48,2011,
18,Eric Abidal,Barcelona,France,0.36,2011,
19,Dani Alves,Barcelona,Brazil,0.34,2011,
20,Karim Benzema,Real Madrid,France,0.34,2011,
21,Cesc FÃ bregas,Arsenal / Barcelona,Spain,0.29,2011,
22,Nani,Manchester United,Portugal,0.26,2011,
23,Gerard PiquÃ©,Barcelona,Spain,0.22,2011,
1,Lionel Messi,Barcelona,Argentina,41.6,2012,
2,Cristiano Ronaldo,Real Madrid,Portugal,23.68,2012,
3,AndrÃ©s Iniesta,Barcelona,Spain,10.91,2012,
4,Xavi,Barcelona,Spain,4.08,2012,
5,Radamel Falcao,AtlÃ©tico Madrid,Colombia,3.67,2012,
6,Iker Casillas,Real Madrid,Spain,3.18,2012,
7,Andrea Pirlo,Juventus,Italy,2.66,2012,
8,Didier Drogba,Chelsea /     Shanghai Shenhua,Ivory Coast,2.6,2012,
9,Robin van Persie,Arsenal /     Manchester United,Netherlands,1.45,2012,
10,Zlatan IbrahimoviÄ,Milan /  Paris    Saint-Germain,Sweden,1.24,2012,
11,Xabi Alonso,Real Madrid,Spain,1.09,2012,
12,Yaya TourÃ©,Manchester City,Ivory Coast,0.76,2012,
13,Neymar,Santos,Brazil,0.61,2012,
14,Mesut Ãzil,Real Madrid,Germany,0.41,2012,
15,Wayne Rooney,Manchester United,England,0.39,2012,
16,Gianluigi Buffon,Juventus,Italy,0.35,2012,
17,Sergio AgÃ¼ero,Manchester City,Argentina,0.3,2012,
18,Sergio Ramos,Real Madrid,Spain,0.22,2012,
19,Manuel Neuer,Bayern Munich,Germany,0.21,2012,
20,Sergio Busquets,Barcelona,Spain,0.2,2012,
21,Gerard PiquÃ©,Barcelona,Spain,0.11,2012,
22,Karim Benzema,Real Madrid,France,0.11,2012,
23,Mario Balotelli,Manchester City,Italy,0.07,2012,
1,Cristiano Ronaldo,Real Madrid,Portugal,27.99,2013,
2,Lionel Messi,Barcelona,Argentina,24.72,2013,
3,Franck RibÃ©ry,Bayern Munich,France,23.36,2013,
4,Zlatan IbrahimoviÄ,Paris Saint-Germain,Sweden,5.29,2013,
5,Neymar,Santos / Barcelona,Brazil,3.17,2013,
6,AndrÃ©s Iniesta,Barcelona,Spain,2.08,2013,
7,Robin van Persie,Manchester United,Netherlands,1.79,2013,
8,Arjen Robben,Bayern Munich,Netherlands,1.77,2013,
9,Gareth Bale,Tottenham Hotspur /     Real Madrid,Wales,1.32,2013,
10,Andrea Pirlo,Juventus,Italy,1.11,2013,
11,Radamel Falcao,AtlÃ©tico Madrid /    Monaco,Colombia,1.08,2013,
12,Yaya TourÃ©,Manchester City,Ivory Coast,0.99,2013,
13,Robert Lewandowski,Borussia Dortmund,Poland,0.92,2013,
14,Philipp Lahm,Bayern Munich,Germany,0.82,2013,
15,Xavi,Barcelona,Spain,0.82,2013,
16,Mesut Ãzil,Real Madrid / Arsenal,Germany,0.71,2013,
17,Bastian Schweinsteiger,Bayern Munich,Germany,0.43,2013,
18,Thomas MÃ¼ller,Bayern Munich,Germany,0.43,2013,
19,Luis SuÃ¡rez,Liverpool,Uruguay,0.39,2013,
20,Edinson Cavani,Napoli /  Paris    Saint-Germain,Uruguay,0.36,2013,
21,Thiago Silva,Paris Saint-Germain,Brazil,0.24,2013,
22,Eden Hazard,Chelsea,Belgium,0.16,2013,
23,Manuel Neuer,Bayern Munich,Germany,0.08,2013,
1,Cristiano Ronaldo,Real Madrid,Portugal,37.66,2014,
2,Lionel Messi,Barcelona,Argentina,15.76,2014,
3,Manuel Neuer,Bayern Munich,Germany,15.72,2014,
4,Arjen Robben,Bayern Munich,Netherlands,7.17,2014,
5,Thomas MÃ¼ller,Bayern Munich,Germany,5.42,2014,
6,Philipp Lahm,Bayern Munich,Germany,2.90,2014,
7,Neymar,Barcelona,Brazil,2.21,2014,
8,James RodrÃ­guez,Monaco /  Real    Madrid,Colombia,1.47,2014,
9,Toni Kroos,Bayern Munich /     Real Madrid,Germany,1.43,2014,
10,Ãngel Di MarÃ­a,Real Madrid /     Manchester United,Argentina,1.29,2014,
11,Diego Costa,AtlÃ©tico Madrid /     Chelsea,Spain,1.02,2014,
12,Gareth Bale,Real Madrid,Wales,1.00,2014,
13,Zlatan IbrahimoviÄ,Paris Saint-Germain,Sweden,1.00,2014,
14,Yaya TourÃ©,Manchester City,Ivory Coast,0.86,2014,
15,Mario GÃ¶tze,Bayern Munich,Germany,0.84,2014,
16,Karim Benzema,Real Madrid,France,0.75,2014,
17,AndrÃ©s Iniesta,Barcelona,Spain,0.67,2014,
18,Bastian Schweinsteiger,Bayern Munich,Germany,0.57,2014,
19,Javier Mascherano,Barcelona,Argentina,0.55,2014,
20,Thibaut Courtois,AtlÃ©tico Madrid /    Chelsea,Belgium,0.51,2014,
21,David Luiz,Chelsea,Brazil,0.47,2014,
22,Paul Pogba,Juventus,France,0.40,2014,
23,Sergio Ramos,Real Madrid,Spain,0.33,2014,
1,Lionel Messi,Barcelona,Argentina,41.33,2015,
2,Cristiano Ronaldo,Real Madrid,Portugal,27.76,2015,
3,Neymar,Barcelona,Brazil,7.86,2015,
4,Robert Lewandowski,Bayern Munich,Poland,4.17,2015,
5,Luis SuÃ¡rez,Barcelona,Uruguay,3.38,2015,
6,Thomas MÃ¼ller,Bayern Munich,Germany,2.21,2015,
7,Manuel Neuer,Bayern Munich,Germany,1.97,2015,
8,Eden Hazard,Chelsea,Belgium,1.33,2015,
9,AndrÃ©s Iniesta,Barcelona,Spain,1.24,2015,
10,Alexis SÃ¡nchez,Arsenal,Chile,1.18,2015,
11,Zlatan IbrahimoviÄ,Paris Saint-Germain,Sweden,1.13,2015,
12,Yaya TourÃ©,Manchester City,Ivory Coast,0.89,2015,
13,Sergio AgÃ¼ero,Manchester City,Argentina,0.86,2015,
14,Javier Mascherano,Barcelona,Argentina,0.79,2015,
15,Paul Pogba,Juventus,France,0.72,2015,
16,Gareth Bale,Real Madrid,Wales,0.65,2015,
17,Arturo Vidal,Juventus /     Bayern Munich,Chile,0.58,2015,
18,Kevin De Bruyne,VfL Wolfsburg /     Manchester City,Belgium,0.47,2015,
19,James RodrÃ­guez,Real Madrid,Colombia,0.45,2015,
20,Karim Benzema,Real Madrid,France,0.4,2015,
21,Toni Kroos,Real Madrid,Germany,0.2931,2015,
22,Arjen Robben,Bayern Munich,Netherlands,0.293,2015,
23,Ivan RakitiÄ,Barcelona,Croatia,0.05,2015,
1,Cristiano Ronaldo,Real Madrid,Portugal,47.84842646114322,2016,
2,Lionel Messi,Barcelona,Argentina,20.29543994861914,2016,
3,Antoine Griezmann,AtlÃ©tico Madrid,France,12.716763005780345,2016,
4,Luis SuÃ¡rez,Barcelona,Uruguay,5.844572896596018,2016,
5,Neymar,Barcelona,Brazil,4.367373153500321,2016,
6,Gareth Bale,Real Madrid,Wales,3.8535645472061653,2016,
7,Riyad Mahrez,Leicester City,Algeria,1.2845215157353884,2016,
8,Jamie Vardy,Leicester City,England,0.7064868336544637,2016,
9,Gianluigi Buffon,Juventus,Italy,0.5138086062941554,2016,
10,Pepe,Real Madrid,Portugal,0.5138086062941554,2016,
11,Pierre-Emerick Aubameyang,Borussia Dortmund,Gabon,0.44958253050738595,2016,
12,Rui PatrÃ­cio,Sporting CP,Portugal,0.3853564547206166,2016,
13,Zlatan IbrahimoviÄ,Paris St-Germain /  Manchester United,Sweden,0.3211303789338471,2016,
14,Paul Pogba,Juventus /  Manchester United,France,0.2569043031470777,2016,
15,Arturo Vidal,Bayern Munich,Chile,0.2569043031470777,2016,
16,Robert Lewandowski,Bayern Munich,Poland,0.1926782273603083,2016,
17,Toni Kroos,Real Madrid,Germany,0.06422607578676942,2016,
18,Luka ModriÄ,Real Madrid,Croatia,0.06422607578676942,2016,
19,Dimitri Payet,West Ham United,France,0.06422607578676942,2016,
20,Sergio AgÃ¼ero,Manchester City,Argentina,0.0,2016,
21,Kevin De Bruyne,Manchester City,Belgium,0.0,2016,
22,Paulo Dybala,Juventus,Argentina,0.0,2016,
23,Diego GodÃ­n,AtlÃ©tico Madrid,Uruguay,0.0,2016,
24,Gonzalo HiguaÃ­n,Napoli / Juventus,Argentina,0.0,2016,
25,AndrÃ©s Iniesta,Barcelona,Spain,0.0,2016,
26,Koke,AtlÃ©tico Madrid,Spain,0.0,2016,
27,Hugo Lloris,Tottenham Hotspur,France,0.0,2016,
28,Thomas MÃ¼ller,Bayern Munich,Germany,0.0,2016,
29,Manuel Neuer,Bayern Munich,Germany,0.0,2016,
30,Sergio Ramos,Real Madrid,Spain,0.0,2016,
1,Cristiano Ronaldo,Real Madrid,Portugal,33.59375,2017,
2,Lionel Messi,Barcelona,Argentina,23.792613636363637,2017,
3,Neymar,Barcelona /     Paris Saint-Germain,Brazil,12.819602272727273,2017,
4,Gianluigi Buffon,Juventus,Italy,7.848011363636363,2017,
5,Luka ModriÄ,Real Madrid,Croatia,2.9829545454545454,2017,
6,Sergio Ramos,Real Madrid,Spain,2.521306818181818,2017,
7,Kylian MbappÃ©,Monaco /  Paris    Saint-Germain,France,1.7045454545454544,2017,
8,N'Golo KantÃ©,Chelsea,France,1.6690340909090908,2017,
9,Robert Lewandowski,Bayern Munich,Poland,1.5980113636363635,2017,
10,Harry Kane,Tottenham Hotspur,England,1.278409090909091,2017,
11,Edinson Cavani,Paris Saint-Germain,Uruguay,1.1363636363636365,2017,
12,Isco,Real Madrid,Spain,0.9943181818181818,2017,
13,Luis SuÃ¡rez,Barcelona,Uruguay,0.9588068181818182,2017,
14,Kevin De Bruyne,Manchester City,Belgium,0.8877840909090909,2017,
15,Paulo Dybala,Juventus,Argentina,0.8167613636363636,2017,
16,Marcelo,Real Madrid,Brazil,0.7457386363636364,2017,
17,Toni Kroos,Real Madrid,Germany,0.7102272727272727,2017,
18,Antoine Griezmann,AtlÃ©tico Madrid,France,0.6036931818181818,2017,
19,Eden Hazard,Chelsea,Belgium,0.5681818181818182,2017,
20,David de Gea,Manchester United,Spain,0.5326704545454545,2017,
21,Pierre-Emerick Aubameyang,Borussia Dortmund,Gabon,0.4971590909090909,2017,
21,Leonardo Bonucci,Juventus / Milan,Italy,0.4971590909090909,2017,
23,Sadio ManÃ©,Liverpool,Senegal,0.35511363636363635,2017,
24,Radamel Falcao,Monaco,Colombia,0.31960227272727276,2017,
25,Karim Benzema,Real Madrid,France,0.24857954545454544,2017,
26,Jan Oblak,AtlÃ©tico Madrid,Slovenia,0.14204545454545456,2017,
27,Mats Hummels,Bayern Munich,Germany,0.1065340909090909,2017,
28,Edin DÅ¾eko,Roma,Bosnia and Herzegovina,0.07102272727272728,2017,
29,Philippe Coutinho,Liverpool,Brazil,0.0,2017,
29,Dries Mertens,Napoli,Italy+Q1:Q30,0.0,2017,
1,Luka ModriÄ,Real Madrid,Croatia,26.12768910478834,2018,
2,Cristiano Ronaldo,Real Madrid /     Juventus,Portugal,16.585704371963914,2018,
3,Antoine Griezmann,AtlÃ©tico Madrid,France,14.36502428868841,2018,
4,Kylian MbappÃ©,Paris Saint-Germain,France,12.040249826509369,2018,
5,Lionel Messi,Barcelona,Argentina,9.715475364330327,2018,
6,Mohamed Salah,Liverpool,Egypt,6.5232477446217905,2018,
7,RaphaÃ«l Varane,Real Madrid,France,4.198473282442748,2018,
8,Eden Hazard,Chelsea,Belgium,4.1290770298403885,2018,
9,Kevin De Bruyne,Manchester City,Belgium,1.0062456627342125,2018,
10,Harry Kane,Tottenham Hotspur,England,0.8674531575294934,2018,
11,N'Golo KantÃ©,Chelsea,France,0.8327550312283136,2018,
12,Neymar,Paris Saint-Germain,Brazil,0.659264399722415,2018,
13,Luis SuÃ¡rez,Barcelona,Uruguay,0.5898681471200555,2018,
14,Thibaut Courtois,Chelsea /  Real    Madrid,Belgium,0.4163775156141568,2018,
15,Paul Pogba,Manchester United,France,0.31228313671061764,2018,
16,Sergio AgÃ¼ero,Manchester City,Argentina,0.24288688410825815,2018,
17,Gareth Bale,Real Madrid,Wales,0.2081887578070784,2018,
,Karim Benzema,Real Madrid,France,0.2081887578070784,2018,
19,Roberto Firmino,Liverpool,Brazil,0.13879250520471895,2018,
,Ivan RakitiÄ,Barcelona,Croatia,0.13879250520471895,2018,
,Sergio Ramos,Real Madrid,Spain,0.13879250520471895,2018,
22,Edinson Cavani,Paris Saint-Germain,Uruguay,0.1040943789035392,2018,
,Sadio ManÃ©,Liverpool,Senegal,0.1040943789035392,2018,
,Marcelo,Real Madrid,Brazil,0.1040943789035392,2018,
25,Alisson,Roma / Liverpool,Brazil,0.06939625260235947,2018,
,Mario MandÅ¾ukiÄ,Juventus,Croatia,0.06939625260235947,2018,
,Jan Oblak,AtlÃ©tico Madrid,Slovenia,0.06939625260235947,2018,
28,Diego GodÃ­n,AtlÃ©tico Madrid,Uruguay,0.03469812630117974,2018,
29,Isco,Real Madrid,Spain,0.0,2018,
,Hugo Lloris,Tottenham Hotspur,France,0.0,2018,
1,Lionel Messi,Barcelona,Argentina,24.360795454545457,2019,
2,Virgil    Van Dijk,Liverpool,Netherlands,24.11221590909091,2019,
3,Cristiano Ronaldo,Juventus,Portugal,16.90340909090909,2019,
4,Sadio    ManÃ©,Liverpool,Senegal,12.322443181818182,2019,
5,Mohamed    Salah,Liverpool,Egypt,6.3210227272727275,2019,
6,Kylian    MbappÃ©,Paris    Saint-Germain,France,3.1605113636363638,2019,
7,Alisson,Liverpool,Brazil,2.3792613636363638,2019,
8,Robert    Lewandowski,Bayern    Munich,Poland,1.5625,2019,
9,Bernardo    Silva,Manchester    City,Portugal,1.455965909090909,2019,
10,Riyad    Mahrez,Manchester    City,Algeria,1.171875,2019,
11,Frenkie    de Jong,Ajax    / Barcelona,Netherlands,1.1008522727272727,2019,
12,Raheem    Sterling,Manchester    City,England,1.065340909090909,2019,
13,Eden    Hazard,Chelsea    / Real Madrid,Belgium,0.8877840909090909,2019,
14,Kevin    De Bruyne,Manchester City,Belgium,0.4971590909090909,2019,
15,Matthijs    de Ligt,Ajax    / Juventus,Netherlands,0.4616477272727273,2019,
16,Sergio    AgÃ¼ero,Manchester    City,Argentina,0.4261363636363636,2019,
17,Roberto    Firmino,Liverpool,Brazil,0.390625,2019,
18,Antoine    Griezmann,AtlÃ©tico    Madrid / Barcelona,France,0.31960227272727276,2019,
19,Trent    Alexander-Arnold,Liverpool,England,0.2840909090909091,2019,
20,Pierre-Emerick    Aubameyang,Arsenal,Gabon,0.17755681818181818,2019,
,DuÅ¡an    TadiÄ,Ajax,Serbia,0.17755681818181818,2019,
22,Son    Heung-min,Tottenham    Hotspur,South Korea,0.14204545454545456,2019,
23,France Hugo    Lloris,Tottenham    Hotspur,France,0.1065340909090909,2019,
24,Kalidou    Koulibaly,Napoli,Senegal,0.07102272727272728,2019,
,Marc-AndrÃ©    ter Stegen,Barcelona,Germany,0.07102272727272728,2019,
26,Karim    Benzema,Real    Madrid,France,0.03551136363636364,2019,
,Georginio    Wijnaldum,Liverpool,Netherlands,0.03551136363636364,2019,
28,JoÃ£o    FÃ©lix,Benfica    / AtlÃ©tico Madrid,Portugal,0.0,2019,
,Marquinhos,Paris    Saint-Germain,Brazil,0.0,2019,
,Donny    van de Beek,Ajax,Netherlands,0.0,2019,
1,Lionel Messi,Paris Saint-Germain,Argentina,22.536764705882355,2021,
2,Robert    Lewandowski,Bayern Munich,Poland,21.323529411764707,2021,
3,Jorginho,Chelsea,Italy,16.911764705882355,2021,
4,Karim Benzema,Real Madrid,France,8.786764705882351,2021,
5,N'Golo KantÃ©,Chelsea,France,6.838235294117648,2021,
6,Cristiano    Ronaldo,"Juventus, Manchester United",Portugal,6.544117647058824,2021,
7,Mohamed Salah,Liverpool,Egypt,4.448529411764706,2021,
8,Kevin De Bruyne,Manchester City,Belgium,2.6838235294117645,2021,
9,Kylian MbappÃ©,Paris    Saint-Germain,France,2.1323529411764706,2021,
10,Gianluigi    Donnarumma,"Milan, Paris Saint-Germain",Italy,1.3235294117647058,2021,
11,Erling Haaland,Borussia    Dortmund,Norway,1.2132352941176472,2021,
=12,Romelu Lukaku,"Inter Milan, Chelsea",Belgium,0.9558823529411765,2021,
=12,Giorgio Chiellini,Juventus,Italy,0.9558823529411765,2021,
14,Leonardo Bonucci,Juventus,Italy,0.6617647058823529,2021,
15,Raheem Sterling,Manchester City,England,0.3676470588235294,2021,
16,Neymar,Paris    Saint-Germain,Brazil,0.33088235294117646,2021,
=17,Luis SuÃ¡rez,AtlÃ©tico Madrid,Uruguay,0.29411764705882354,2021,
=17,Simon KjÃ¦r,Milan,Denmark,0.29411764705882354,2021,
=19,Mason Mount,Chelsea,England,0.25735294117647056,2021,
=19,Riyad Mahrez,Manchester City,Algeria,0.25735294117647056,2021,
=21,Bruno    Fernandes,Manchester    United,Portugal,0.22058823529411764,2021,
=21,Lautaro    MartÃ­nez,Inter Milan,Argentina,0.22058823529411764,2021,
23,Harry Kane,Tottenham    Hotspur,England,0.14705882352941177,2021,
24,Pedri,Barcelona,Spain,0.11029411764705882,2021,
25,Phil Foden,Manchester City,England,0.07352941176470588,2021,
=26,Gerard Moreno,Villarreal,Spain,0.03676470588235294,2021,
=26,NicolÃ² Barella,Inter Milan,Italy,0.03676470588235294,2021,
=26,RÃºben Dias,Manchester City,Portugal,0.03676470588235294,2021,
=29,Luka ModriÄ,Real Madrid,Croatia,0.0,2021,
=29,Cesar Azpilicueta,Chelsea,Spain,0.0,2021,
1,Karim Benzema,Real Madrid,France,36.94481830417227,2022,FW
2,Sadio Mane,"Liverpool /
            Bayern Munich",Senegal,12.987886944818305,2022,FW
3,Kevin De Bruyne,ManÂ City,Belgium,11.776581426648722,2022,MF
4,Robert Lewandowski,"Bayern Munich /
            Barcelona",Poland,11.440107671601615,2022,FW
5,Mohamed Salah,Liverpool,Egypt,7.806191117092867,2022,FW
6,Kylian Mbappe,PSG,France,5.720053835800807,2022,FW
7,Thibaut Courtois,Real Madrid,Belgium,5.518169582772544,2022,GK
8,Vinicius Jr.,Real Madrid,Brazil,4.104979811574697,2022,FW
9,Luka Modric,Real Madrid,Croatia,1.3458950201884252,2022,MF
10,Erling Haaland,Man City,Norway,1.2113055181695829,2022,FW
11,Son Heung-min,Tottenham,South Korea,0.3364737550471063,2022,FW
12,Riyad Mahrez,ManÂ City,Algeria,0.2691790040376851,2022,FW
13,Sebastien Haller,"Ajax /
            B. Dortmund",Ivory Coast,0.13458950201884254,2022,FW
=14,Fabinho,Liverpool,Brazil,0.13458950201884254,2022,MF
=14,Rafael Leao,AC Milan,Portugal,,2022,FW
16,Virgil van Dijk,Liverpool,Netherlands,0.06729475100942127,2022,DF
=17,Casemiro,"Real Madrid /
            Man United",Brazil,0.06729475100942127,2022,MF
=17,Dusan Vlahovic,"Fiorentina /
            Juventus",Serbia,0.06729475100942127,2022,FW
=17,Luis Diaz,"Porto /
            Liverpool",Colombia,0.06729475100942127,2022,FW
20,Cristiano Ronaldo,Man United,Portugal,0.0,2022,FW
21,Harry Kane,Tottenham,England,0.0,2022,FW
=22,Trent Alexander-Arnold,Liverpool,England,0.0,2022,DF
=22,Phil Foden,ManÂ City,England,0.0,2022,FW
=22,Bernardo Silva,ManÂ City,Portugal,0.0,2022,MF
=25,Joshua Kimmich,Bayern Munich,Germany,0.0,2022,MF
=25,Mike Maignan,AC Milan,France,0.0,2022,GK
=25,Antonio Rudiger,"Chelsea /
            Real Madrid",Germany,0.0,2022,DF
=25,Joao Cancelo,ManÂ City,Portugal,0.0,2022,DF
=25,Christopher Nkunku,RB Leipzig,France,0.0,2022,FW
=25,Darwin Nunez,"Benfica /
            Liverpool",Uruguay,0.0,2022,Â FW
1,Lionel Messi,Inter Miami,Argentina,31.38586956521739,2023,
2,Erling Haaland,Man City,Norway,24.252717391304348,2023,
3,Kylian Mbappe,PSG,France,18.342391304347828,2023,
4,Kevin de Bruyne,Man City,Belgium,6.7934782608695645,2023,
5,Rodri,Man City,Spain,3.872282608695652,2023,
6,Vinicius Jr,Real Madrid,Brazil,3.3288043478260874,2023,
7,Julian Alvarez,Man City,Argentina,1.9021739130434785,2023,
8.Â,Victor Osimhen,Napoli,Nigeria,1.6304347826086956,2023,
9.Â,Bernardo Silva,Man City,Portugal,1.358695652173913,2023,
10,Luka Modric,Real Madrid,Croatia,1.2907608695652173,2023,
11,Mohamed Salah,Liverpool,Egypt,0.8831521739130435,2023,
12,Robert Lewandowski,Barcelona,Poland,0.8152173913043478,2023,
13,Yassine Bounou,Sevilla,Morocco,0.6793478260869565,2023,
14,Ilkay Gundogan,Man City / Barcelona,Germany,0.5434782608695652,2023,
15,Emiliano Martinez,Aston Villa,Argentina,0.4755434782608696,2023,
16,Karim Benzema,Real Madrid,France,0.4076086956521739,2023,
17,Khvicha Kvaratskhelia,Napoli,Georgia,0.4076086956521739,2023,
18,Jude Bellingham,Borussia Dortmund / Real Madrid,England,0.33967391304347827,2023,
19,Harry Kane,Tottenham / Bayern Munich,England,0.2717391304347826,2023,
20,Lautaro Martinez,Inter Milan,Argentina,0.2717391304347826,2023,
21,Antoine Griezmann,Atletico Madrid,France,0.2717391304347826,2023,
22,Kim Min-Jae,Napoli / Bayern Munich,South Korea,0.20380434782608695,2023,
23,Andre Onana,Man United,Cameroon,0.1358695652173913,2023,
24,Bukayo Saka,Arsenal,England,0.06793478260869565,2023,
25,Josko Gvardiol,RB Leipzig / Man City,Croatia,0.06793478260869565,2023,
26,Jamal Musiala,Bayern Munich,Germany,0.0,2023,
27,Nicolo Barella,Inter Milan,Italy,0.0,2023,
=28,Randal Kolo Muani,Eintracht Frankfurt / PSG,France,0.0,2023,
=28,Martin Odegaard,Arsenal,Norway,0.0,2023,
30,Ruben Dias,Man City,Portugal,0.0,2023,
1,Rodri,Manchester City,Spain,17.639077340569877,2024,
2,VinÃ­cius JÃºnior,Real Madrid,Brazil,17.020955826925977,2024,
3,Jude Bellingham,Real Madrid,England,13.824815317352632,2024,
4,Dani Carvajal,Real Madrid,Spain,8.291873963515755,2024,
5,Erling Haaland,Manchester City,Norway,6.512890094979647,2024,
6,Kylian MbappÃ©,Paris Saint-Germain[a],France,6.331976481230213,2024,
7,Lautaro MartÃ­nez,Inter Milan,Argentina,6.0606060606060606,2024,
8,Lamine Yamal,Barcelona,Spain,5.774159505502789,2024,
9,Toni Kroos,Real Madrid,Germany,4.38715513342379,2024,
10,Harry Kane,Bayern Munich,England,3.0303030303030303,2024,
11,Phil Foden,Manchester City,England,2.36695311322177,2024,
12,Florian Wirtz,Bayer Leverkusen,Germany,1.5226895823910749,2024,
13,Dani Olmo,RB Leipzig[b],Spain,1.2965475652042817,2024,
14,Ademola Lookman,Atalanta,Nigeria,1.2362430272878033,2024,
15,Nico Williams,Athletic Bilbao,Spain,1.1005578169757275,2024,
16,Granit Xhaka,Bayer Leverkusen,Switzerland,0.9045680687471733,2024,
17,Federico    Valverde,Real Madrid,Uruguay,0.8744157997889341,2024,
18,Emiliano    MartÃ­nez,Aston Villa,Argentina,0.42213176541534747,2024,
19,Martin Ãdegaard,Arsenal,Norway,0.24121815166591284,2024,
20,Hakan ÃalhanoÄlu,Inter Milan,Turkey,0.22614201718679333,2024,
21,Bukayo Saka,Arsenal,England,0.21106588270767374,2024,
22,Antonio RÃ¼diger,Real Madrid,Germany,0.19598974822855422,2024,
=23,RÃºben Dias,Manchester City,Portugal,0.12060907583295642,2024,
=23,William Saliba,Arsenal,France,0.12060907583295642,2024,
25,Cole Palmer,Chelsea,England,0.10553294135383687,2024,
=26,Declan Rice,Arsenal,England,0.07538067239559777,2024,
=26,Vitinha,Paris Saint-Germain,Portugal,0.07538067239559777,2024,
28,Ãlex Grimaldo,Bayer Leverkusen,Spain,0.030152268958239106,2024,
=29,Artem Dovbyk,Girona,Ukraine,0.0,2024,
=29,Mats Hummels,Borussia Dortmund,Germany,0.0,2024,
